n	load_factor	entry_count	i_refs	i_misses	lli_misses	i_missrate	lli_missrate	d_refs	d_refs_rd	d_refs_wr	d_misses	d_misses_rd	d_misses_wr	lld_misses	lld_misses_rd	lld_misses_wr	d_missrate	d_missrate_rd	d_missrate_wr	lld_missrate	lld_missrate_rd	lld_missrate_wr	ll_refs	ll_refs_rd	ll_refs_wr	ll_misses	ll_misses_rd	ll_misses_wr	ll_missrate	ll_missrate_rd	ll_missrate_wr	initial_fill	rm	fill	rm	fill	
11	0.5	1024	807506	1447	1364	0.18%	0.17%	339853	210454	129399	5436	3706	1730	3233	2101	1132	1.6%	1.8%	1.3%	1.0%	1.0%	0.9%	6883	5153	1730	4597	3465	1132	0.4%	0.3%	0.9%	0.003938	0.003104	0.002030	0.000757	0.000498	
11	0.95	1945	1353298	1451	1367	0.11%	0.10%	577479	363282	214197	6817	4394	2423	3464	2101	1363	1.2%	1.2%	1.1%	0.6%	0.6%	0.6%	8268	5845	2423	4831	3468	1363	0.3%	0.2%	0.6%	0.003779	0.004767	0.002384	0.001434	0.000739	
12	0.5	2048	1380753	1445	1362	0.10%	0.10%	597795	360905	236890	17708	8842	8866	3809	2101	1708	3.0%	2.4%	3.7%	0.6%	0.6%	0.7%	19153	10287	8866	5171	3463	1708	0.3%	0.2%	0.7%	0.003445	0.004377	0.001978	0.004045	0.000757	
12	0.95	3891	2461372	1450	1366	0.06%	0.06%	1067825	662812	405013	29572	15443	14129	4269	2100	2169	2.8%	2.3%	3.5%	0.4%	0.3%	0.5%	31022	16893	14129	5635	3466	2169	0.2%	0.1%	0.5%	0.005335	0.006572	0.002448	0.003861	0.002360	
13	0.5	4096	2527765	1445	1359	0.06%	0.05%	1113936	661991	451945	47695	26328	21367	4960	2100	2860	4.3%	4.0%	4.7%	0.4%	0.3%	0.6%	49140	27773	21367	6319	3459	2860	0.2%	0.1%	0.6%	0.004319	0.007207	0.002340	0.003769	0.002218	
13	0.95	7782	4737363	1448	1362	0.03%	0.03%	2078160	1283441	794719	86996	51937	35059	5881	2100	3781	4.2%	4.0%	4.4%	0.3%	0.2%	0.5%	88444	53385	35059	7243	3462	3781	0.1%	0.1%	0.5%	0.007415	0.008746	0.004046	0.005717	0.004156	
14	0.5	8192	4821465	1445	1359	0.03%	0.03%	2146109	1264091	882018	147564	89077	58487	7264	2100	5164	6.9%	7.0%	6.6%	0.3%	0.2%	0.6%	149009	90522	58487	8623	3459	5164	0.1%	0.1%	0.6%	0.005551	0.018423	0.003733	0.005986	0.003714	
14	0.95	15564	9239525	1449	1363	0.02%	0.01%	4074232	2506787	1567445	277685	179670	98015	9107	2100	7007	6.8%	7.2%	6.3%	0.2%	0.1%	0.4%	279134	181119	98015	10470	3463	7007	0.1%	0.0%	0.4%	0.010692	0.019953	0.008517	0.032247	0.012708	
15	0.5	16384	9415234	1445	1359	0.02%	0.01%	4212259	2470078	1742181	311195	194489	116706	11872	2100	9772	7.4%	7.9%	6.7%	0.3%	0.1%	0.6%	312640	195934	116706	13231	3459	9772	0.1%	0.0%	0.6%	0.009931	0.016287	0.008525	0.012380	0.007630	
15	0.95	31129	18623982	1446	1360	0.01%	0.01%	8168598	5058105	3110493	626406	434831	191575	15558	2100	13458	7.7%	8.6%	6.2%	0.2%	0.0%	0.4%	627852	436277	191575	16918	3460	13458	0.1%	0.0%	0.4%	0.018178	0.028989	0.014817	0.025427	0.014488	
16	0.5	32768	18980440	1445	1359	0.01%	0.01%	8452492	4990009	3462483	667427	434206	233221	21088	2100	18988	7.9%	8.7%	6.7%	0.2%	0.0%	0.5%	668872	435651	233221	22447	3459	18988	0.1%	0.0%	0.5%	0.020877	0.042137	0.017042	0.027428	0.013523	
16	0.95	62259	37571418	1446	1360	0.00%	0.00%	16363376	10183865	6179511	1348563	960014	388549	28460	2100	26360	8.2%	9.4%	6.3%	0.2%	0.0%	0.4%	1350009	961460	388549	29820	3460	26360	0.1%	0.0%	0.4%	0.036308	0.073941	0.035572	0.051996	0.030331	
17	0.5	65536	37451309	1445	1359	0.00%	0.00%	16744539	9841415	6903124	1319071	853397	465674	39520	2100	37420	7.9%	8.7%	6.7%	0.2%	0.0%	0.5%	1320516	854842	465674	40879	3459	37420	0.1%	0.0%	0.5%	0.035415	0.071378	0.032264	0.052395	0.028832	
17	0.95	124518	72613069	1450	1364	0.00%	0.00%	31930592	19657920	12272672	2526372	1735375	790997	54265	2100	52165	7.9%	8.8%	6.4%	0.2%	0.0%	0.4%	2527822	1736825	790997	55629	3464	52165	0.1%	0.0%	0.4%	0.070668	0.111209	0.062743	0.099775	0.056178	
18	0.5	131072	73836185	1448	1362	0.00%	0.00%	33176378	19387634	13788744	2520226	1591650	928576	76384	2100	74284	7.6%	8.2%	6.7%	0.2%	0.0%	0.5%	2521674	1593098	928576	77746	3462	74284	0.1%	0.0%	0.5%	0.069080	0.126185	0.057040	0.107239	0.054512	
18	0.95	249036	145901624	1443	1360	0.00%	0.00%	64394502	39646774	24747728	4940502	3374303	1566199	105875	2100	103775	7.7%	8.5%	6.3%	0.2%	0.0%	0.4%	4941945	3375746	1566199	107235	3460	103775	0.1%	0.0%	0.4%	0.139899	0.230556	0.122708	0.235669	0.128578	
19	0.5	262144	147034567	1440	1400	0.00%	0.00%	66141993	38595026	27546967	5002374	3142018	1860356	282003	100944	181059	7.6%	8.1%	6.8%	0.4%	0.3%	0.7%	5003814	3143458	1860356	283403	102344	181059	0.1%	0.1%	0.7%	0.126811	0.251854	0.115676	0.253599	0.120247	
19	0.95	498073	280823827	1435	1395	0.00%	0.00%	124077274	75612773	48464501	9454341	6277663	3176678	636039	278030	358009	7.6%	8.3%	6.6%	0.5%	0.4%	0.7%	9455776	6279098	3176678	637434	279425	358009	0.2%	0.1%	0.7%	0.257237	0.471129	0.235799	0.465994	0.229595	
